Unnamed: 0,id,date,price,bedrooms,sqft_living,waterfront,view,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,sqft_living15,sqft_lot15,year_sold,age_house,price_sqft,Renovated,log_price
0,2591820310,20141006T000000,365000.0,4,2070,0,0,8,2070,0,1986,0,98058,47.4388,2390,7700,2014,28,176.32850241545893,0,12.80765263256463
1,7974200820,20140821T000000,865000.0,5,2900,0,0,8,1830,1070,1977,0,98115,47.6784,2370,6283,2014,37,298.2758620689655,0,13.670484785914017
2,7701450110,20140815T000000,1038000.0,4,3770,0,2,11,3770,0,1997,0,98006,47.5646,3710,9685,2014,17,275.3315649867374,0,13.852806342707972
3,9522300010,20150331T000000,1490000.0,3,4560,0,2,12,4560,0,1990,0,98034,47.6995,4050,14226,2015,25,326.7543859649123,0,14.214286677921642
4,9510861140,20140714T000000,711000.0,3,2550,0,0,9,2550,0,2004,0,98052,47.6647,2250,4050,2014,10,278.8235294117647,0,13.474427708785377
5,1761300310,20140827T000000,211000.0,4,1710,0,0,7,1710,0,1970,0,98031,47.3947,1710,7200,2014,44,123.39181286549707,0,12.259613412458204
6,7732410120,20140819T000000,790000.0,4,2690,0,0,9,2690,0,1987,0,98007,47.6596,2420,8087,2014,27,293.6802973977695,0,13.579788224443204
7,7010701383,20141017T000000,680000.0,3,1800,0,0,7,1350,450,1970,0,98199,47.6599,1920,4400,2014,44,377.77777777777777,0,13.42984807715229
8,291310170,20140804T000000,384500.0,3,1600,0,0,8,1600,0,2005,0,98027,47.5344,1445,1288,2014,9,240.3125,0,12.859699067927835
9,4232901990,20140516T000000,605000.0,2,910,0,0,7,910,0,1909,0,98119,47.6341,1720,3600,2014,105,664.8351648351648,0,13.312983737012978
10,6840701125,20150422T000000,638000.0,3,1830,0,0,8,1720,110,1930,0,98122,47.6052,1650,4400,2015,85,348.6338797814208,0,13.366093562326927
11,3971700580,20150303T000000,385000.0,3,1930,0,0,7,1130,800,1963,1998,98155,47.7733,1730,14378,2015,52,199.4818652849741,1,12.86099861326992
12,4202400078,20150128T000000,175000.0,2,1410,0,0,7,1410,0,1968,0,98055,47.4908,1540,6000,2015,47,124.11347517730496,0,12.072541252905651
13,6064800090,20150507T000000,365000.0,3,1960,0,0,7,1750,210,2003,0,98118,47.5419,1760,1985,2015,12,186.22448979591837,0,12.80765263256463
14,2626119028,20150323T000000,160000.0,3,1140,0,0,6,1140,0,1910,0,98014,47.7093,1140,4700,2015,105,140.35087719298247,0,11.982929094215963
15,3303980660,20140603T000000,1070000.0,4,4130,0,0,11,4130,0,2001,0,98059,47.5194,3690,11227,2014,13,259.0799031476998,0,13.883169206438088
16,862000020,20150206T000000,800000.0,6,1430,0,0,7,1430,0,1954,0,98004,47.6255,2450,10080,2015,61,559.4405594405595,0,13.592367006650065
17,2386000070,20141029T000000,795127.0,4,4360,0,0,10,3360,1000,1993,0,98053,47.6398,3540,90940,2014,21,182.36857798165138,0,13.58625712930572
18,1138000450,20141016T000000,355000.0,4,1440,0,0,7,1440,0,1969,0,98034,47.7133,1150,7215,2014,45,246.52777777777777,0,12.779873068457553
19,1775800420,20150202T000000,474000.0,4,1960,0,0,8,1330,630,1976,0,98072,47.7434,1540,15000,2015,39,241.83673469387756,0,13.068962600677214
20,2291401425,20140910T000000,485000.0,5,1910,0,0,7,1020,890,1968,0,98133,47.7074,1030,7440,2014,46,253.92670157068062,0,13.091904169919621
21,2025770560,20141103T000000,930000.0,4,5710,0,0,11,5710,0,2007,0,98092,47.3065,4060,23847,2014,7,162.87215411558668,0,13.742939865129438
22,3525069037,20141120T000000,920000.0,3,2590,0,0,9,2590,0,1983,0,98074,47.6145,3410,212137,2014,31,355.2123552123552,0,13.732128949025222
23,9324800450,20141009T000000,560000.0,3,2790,0,2,8,1700,1090,1955,0,98125,47.7328,2410,8100,2014,59,200.7168458781362,0,13.235692062711331
24,8080400136,20140620T000000,654000.0,3,1530,0,0,8,1280,250,2005,0,98122,47.6179,1530,1381,2014,9,427.45098039215685,0,13.390862630439337
25,8651540040,20140718T000000,549000.0,3,1920,0,0,8,1920,0,1981,0,98074,47.6432,2000,10706,2014,33,285.9375,0,13.215853720491667
26,9407001790,20140826T000000,290000.0,3,1010,0,0,7,1010,0,1972,0,98045,47.4483,1370,9500,2014,42,287.1287128712871,0,12.577636201962656
27,1773101530,20141218T000000,275000.0,1,520,0,0,5,520,0,1930,0,98106,47.5533,800,4960,2014,84,528.8461538461538,0,12.524526376648708
28,9432900250,20150309T000000,329990.0,4,2420,0,0,8,2420,0,1997,0,98022,47.2089,2270,8770,2015,18,136.3595041322314,0,12.706817629953214
29,1794500695,20150304T000000,750000.0,2,1110,0,0,7,1110,0,1904,0,98119,47.6382,1670,5400,2015,111,675.6756756756756,0,13.527828485512494
30,2220069003,20150223T000000,425000.0,3,1360,0,2,7,1140,220,1955,0,98022,47.2069,1700,60548,2015,60,312.5,0,12.959844447906553
31,923000120,20150408T000000,515000.0,3,2200,0,0,7,1130,1070,1942,0,98177,47.7263,2170,7672,2015,73,234.0909090909091,0,13.151922179645874
32,5728000060,20140801T000000,605000.0,3,1850,0,0,8,1370,480,1973,0,98008,47.6379,1880,7580,2014,41,327.02702702702703,0,13.312983737012978
33,16000200,20141024T000000,250000.0,3,1640,0,0,7,1640,0,1918,1983,98002,47.31100000000001,1230,6632,2014,96,152.4390243902439,1,12.429216196844383
34,1926059094,20140812T000000,330000.0,3,1340,0,0,7,1340,0,1961,0,98034,47.7207,2950,7987,2014,53,246.26865671641792,0,12.706847933442663
35,6672900220,20150112T000000,984000.0,4,2390,0,0,9,2390,0,1962,0,98040,47.5528,2870,12337,2015,53,411.7154811715481,0,13.799381176034391
36,3629860060,20150312T000000,827500.0,5,3920,0,0,9,3000,920,2000,0,98029,47.5492,3000,5297,2015,15,211.0969387755102,0,13.626164386233356
37,1822069109,20140910T000000,485000.0,3,2540,0,0,8,1820,720,1976,0,98042,47.389,1650,51836,2014,38,190.9448818897638,0,13.091904169919621
38,6675500105,20140729T000000,306000.0,3,1160,0,0,7,1160,0,1969,0,98034,47.7279,1870,9104,2014,45,263.7931034482759,0,12.631340380934517
39,249000180,20141201T000000,1890000.0,4,4285,0,0,10,4285,0,2013,0,98004,47.6332,1570,8994,2014,1,441.073512252042,0,14.452087387035824
40,226059065,20140903T000000,514000.0,3,2260,0,0,7,1450,810,1962,0,98072,47.7657,2140,44431,2014,52,227.43362831858408,0,13.149978544437301
41,396100110,20140516T000000,282613.0,2,830,0,0,6,830,0,1954,0,98133,47.7466,1340,6040,2014,60,340.49759036144576,0,12.55183374958996
42,9264450460,20140603T000000,309000.0,5,2481,0,0,8,2481,0,2014,0,98001,47.2602,2363,4175,2014,0,124.546553808948,0,12.641096555879882
43,7853361210,20150218T000000,400000.0,3,1650,0,0,7,1650,0,2009,0,98065,47.515,2430,6000,2015,6,242.42424242424244,0,12.89921982609012
44,9474700020,20140503T000000,310000.0,3,1010,0,0,6,1010,0,1973,0,98065,47.5324,1390,12710,2014,41,306.9306930693069,0,12.644327576461329
45,421000455,20150502T000000,253200.0,3,1360,0,0,5,1360,0,1953,0,98056,47.4945,1250,6708,2015,62,186.1764705882353,0,12.441934969252157
46,3755200220,20140718T000000,334009.0,4,1650,0,0,6,1650,0,1960,0,98034,47.7183,1860,7486,2014,54,202.42969696969698,0,12.718923217703582
47,7960100075,20150325T000000,500000.0,3,1540,0,0,7,890,650,1994,0,98122,47.6103,1540,3600,2015,21,324.6753246753247,0,13.122363377404328
48,9477100490,20150424T000000,441500.0,3,1510,0,0,7,1510,0,1968,0,98034,47.7283,1440,7416,2015,47,292.3841059602649,0,12.997933299026151
49,9138100350,20150218T000000,685000.0,4,2290,0,3,7,2290,0,1900,0,98115,47.6807,2000,3150,2015,115,299.12663755458516,0,13.437174117244362
50,1624049275,20140812T000000,327000.0,4,1630,0,0,7,1630,0,1999,0,98144,47.5704,1920,5046,2014,15,200.61349693251535,0,12.697715449879391
51,2770606890,20140807T000000,450000.0,4,1520,0,0,6,1520,0,1949,0,98199,47.6581,1530,5250,2014,65,296.05263157894734,0,13.017002861746503
52,1157200189,20140514T000000,356000.0,3,2100,0,0,9,2100,0,1980,0,98188,47.4687,2400,7776,2014,34,169.52380952380952,0,12.782686009834167
53,2770601800,20141024T000000,525000.0,3,1560,0,0,6,780,780,1944,0,98199,47.6501,1560,1734,2014,70,336.53846153846155,0,13.17115354157376
54,9301300805,20141215T000000,675000.0,3,1300,0,0,8,1100,200,2014,0,98109,47.6384,1070,1223,2014,0,519.2307692307693,0,13.422467969854667
55,2325069032,20140731T000000,875000.0,5,4720,0,0,11,3210,1510,2005,0,98053,47.6347,3880,37328,2014,9,185.38135593220338,0,13.681979165339751
56,1021079099,20141106T000000,345000.0,3,1990,0,0,8,1410,580,1987,0,98010,47.3259,1660,93393,2014,27,173.36683417085428,0,12.751299696013497
57,7215730040,20140515T000000,695000.0,4,3150,0,0,9,3150,0,2001,0,98075,47.5974,2970,6228,2014,13,220.63492063492063,0,13.45166712454693
58,1853200080,20140619T000000,350000.0,2,1620,0,0,6,850,770,1921,0,98034,47.7119,2460,5469,2014,93,216.0493827160494,0,12.765688433465597
59,3224600340,20141013T000000,695000.0,4,2790,0,0,9,2790,0,1999,0,98074,47.6087,2790,6270,2014,15,249.10394265232975,0,13.45166712454693
60,3222049120,20150123T000000,400000.0,4,2320,0,2,8,2320,0,1998,0,98198,47.3497,2220,25265,2015,17,172.41379310344828,0,12.89921982609012
61,2113700025,20150409T000000,330000.0,2,1129,0,0,7,1129,0,1953,0,98106,47.5313,1300,3880,2015,62,292.29406554472985,0,12.706847933442663
62,7893207925,20141022T000000,265000.0,3,1290,0,0,6,1290,0,1954,0,98198,47.4227,1300,7183,2014,60,205.42635658914728,0,12.487485104968359
63,3586501085,20140808T000000,630000.0,4,2290,0,0,8,2290,0,1977,0,98177,47.7502,2290,26720,2014,37,275.10917030567686,0,13.353475098367715
64,8024200010,20141028T000000,312000.0,2,1460,0,0,7,1260,200,1925,0,98115,47.7009,1580,6380,2014,89,213.6986301369863,0,12.65075846679162
65,7116500705,20150129T000000,156000.0,2,920,0,0,6,920,0,1950,0,98002,47.3012,1210,6180,2015,65,169.56521739130434,0,11.957611286231675
66,1598600209,20141020T000000,300000.0,6,3080,0,0,7,1580,1500,1985,0,98030,47.3859,1850,8658,2014,29,97.40259740259741,0,12.611537753638338
67,7204200025,20141028T000000,1225000.0,4,3120,1,4,9,2590,530,1974,1989,98198,47.3535,2030,32181,2014,40,392.62820512820514,1,14.018451401960965
68,4206901505,20150326T000000,465000.0,2,1120,0,0,7,1120,0,1926,0,98105,47.6567,1620,4000,2015,89,415.17857142857144,0,13.049792684569493
69,2937300440,20140908T000000,923990.0,4,3600,0,0,9,3600,0,2014,0,98052,47.7053,3590,6050,2014,0,256.6638888888889,0,13.736456528054434
70,7205000180,20150417T000000,320000.0,4,2000,0,1,7,2000,0,1967,0,98023,47.3342,2170,10374,2015,48,160.0,0,12.676076274775909
71,8718500665,20140724T000000,375000.0,3,1610,0,0,7,1090,520,1975,0,98028,47.7391,2040,10692,2014,39,232.91925465838509,0,12.834681304952548
72,5318101765,20140602T000000,985000.0,3,1670,0,0,8,1670,0,1912,0,98112,47.635,2100,5400,2014,102,589.8203592814372,0,13.800396920154226
73,4122700020,20140710T000000,850000.0,5,2310,0,0,8,2310,0,1966,0,98004,47.6395,2810,13906,2014,48,367.965367965368,0,13.652991628466498
74,8078700020,20140603T000000,474900.0,3,1800,0,0,8,1800,0,1976,0,98072,47.7757,2480,25608,2014,38,263.8333333333333,0,13.070859534537213
75,3303980680,20150228T000000,997000.0,4,3430,0,0,11,3430,0,2001,0,98059,47.5196,3880,11614,2015,14,290.6705539358601,0,13.812506048943975
76,8924100372,20150423T000000,1302000.0,4,3590,0,2,9,3140,450,2006,0,98115,47.6763,2100,6250,2015,9,362.6740947075209,0,14.079412101750652
77,2781270210,20150224T000000,209900.0,2,1180,0,0,6,1180,0,2005,0,98038,47.3491,1310,3003,2015,10,177.88135593220338,0,12.254386505808725
78,519000043,20140714T000000,602000.0,3,1640,0,0,8,1640,0,1998,0,98122,47.6103,1440,3230,2014,16,367.0731707317073,0,13.308012724290958
79,3225069301,20140612T000000,1228000.0,4,5730,0,4,11,4280,1450,1991,0,98074,47.6052,3310,17628,2014,23,214.31064572425828,0,14.020897387689224
80,151000075,20150206T000000,856000.0,3,2160,0,0,9,2160,0,2014,0,98116,47.5762,1500,4920,2015,1,396.2962962962963,0,13.66002565512388
81,2297400020,20140902T000000,392000.0,3,1790,0,0,7,1220,570,1974,0,98034,47.7184,2040,7950,2014,40,218.99441340782124,0,12.8790171187726
82,6617500085,20150422T000000,500000.0,4,2900,0,0,8,1660,1240,1959,0,98118,47.55,2250,6098,2015,56,172.41379310344828,0,13.122363377404328
83,104510180,20150211T000000,230000.0,3,1500,0,0,7,1150,350,1984,0,98023,47.3124,1500,7210,2015,31,153.33333333333334,0,12.345834587905333
84,3528900060,20140626T000000,1145000.0,3,2490,0,0,8,1670,820,1918,0,98109,47.6403,2310,4000,2014,96,459.83935742971886,0,13.950915194970477
85,3345100286,20150219T000000,560000.0,4,3270,0,0,8,1690,1580,1979,0,98056,47.5221,1520,13480,2015,36,171.25382262996942,0,13.235692062711331
